x,true,terminal,branch
0.000000000000000000e+00,-7.427858310018089986e-17,-1.224646799147353207e-16,1.129915937781333923e-03
6.346651825433925753e-02,-7.412903628119022607e-17,-1.222181188932998479e-16,1.679060049355030060e-02
1.269330365086785151e-01,-7.368099799647662568e-17,-1.214794286432045364e-16,3.190075606107711792e-02
1.903995547630177865e-01,-7.293627233808033447e-17,-1.202515836093704245e-16,4.698379337787628174e-02
2.538660730173570301e-01,-7.189785805338143690e-17,-1.185395278903884878e-16,6.130451709032058716e-02
3.173325912716962738e-01,-7.056993647020257643e-17,-1.163501553303797089e-16,7.541803270578384399e-02
3.807991095260355729e-01,-6.895785466007752558e-17,-1.136922817599177791e-16,8.857379108667373657e-02
4.442656277803748166e-01,-6.706810390748145568e-17,-1.105766094977910645e-16,1.014153882861137390e-01
5.077321460347140603e-01,-6.490829357171933625e-17,-1.070156842565420576e-16,1.129342392086982727e-01
5.711986642890533039e-01,-6.248712044672165729e-17,-1.030238446253108839e-16,1.239590719342231750e-01
6.346651825433925476e-01,-5.981433374212481472e-17,-9.861716433339757707e-17,1.338764578104019165e-01
6.981317007977317912e-01,-5.690069582664481157e-17,-9.381338752702730781e-17,1.433169841766357422e-01
7.615982190520711459e-01,-5.375793889181694415e-17,-8.863185731993626970e-17,1.518191546201705933e-01
8.250647373064103896e-01,-5.039871771060128345e-17,-8.309343790547960339e-17,1.595316380262374878e-01
8.885312555607496332e-01,-4.683655868107840963e-17,-7.722043054388871467e-17,1.665552109479904175e-01
9.519977738150888769e-01,-4.308580536041836168e-17,-7.103648376296735341e-17,1.726862788200378418e-01
1.015464292069428121e+00,-3.916156070843843485e-17,-6.456649813381682364e-17,1.785335987806320190e-01
1.078930810323767364e+00,-3.507962627331446438e-17,-5.783652600502462333e-17,1.833342015743255615e-01
1.142397328578106608e+00,-3.085643856432335367e-17,-5.087366659905163642e-17,1.878456324338912964e-01
1.205863846832445851e+00,-2.650900286782143396e-17,-4.370595689322789462e-17,1.915464848279953003e-01
1.269330365086785095e+00,-2.205482477295817018e-17,-3.636225872474026164e-17,1.946231573820114136e-01
1.332796883341124339e+00,-1.751183968284718599e-17,-2.887214257420074121e-17,1.975341141223907471e-01
1.396263401595463582e+00,-1.289834059502806707e-17,-2.126576849575772223e-17,2.001107931137084961e-01
1.459729919849802826e+00,-8.232904442021716017e-18,-1.357376467320277234e-17,2.022580057382583618e-01
1.523196438104142292e+00,-3.534317288579645664e-18,-5.827104091084465444e-18,2.037400752305984497e-01
1.586662956358481535e+00,1.178501313168252973e-18,1.943020182568531625e-18,2.053228169679641724e-01
1.650129474612820779e+00,5.886574506072719103e-18,9.705320599723192175e-18,2.065300047397613525e-01
1.713595992867160023e+00,1.057094454107102187e-17,1.742854111625519827e-17,2.075838297605514526e-01
1.777062511121499266e+00,1.521274911335143417e-17,2.508158304900702664e-17,2.084360569715499878e-01
1.840529029375838510e+00,1.979329731419739209e-17,3.263363029920895653e-17,2.092266529798507690e-01
1.903995547630177754e+00,2.429414489268002405e-17,4.005427343803243769e-17,2.094962447881698608e-01
1.967462065884516997e+00,2.869716852414689295e-17,4.731363215462719029e-17,2.097545117139816284e-01
2.030928584138856241e+00,3.298463878645383412e-17,5.438247557358689632e-17,2.099004387855529785e-01
2.094395102393195707e+00,3.713929155009046842e-17,6.123233995736768501e-17,2.095803469419479370e-01
2.157861620647534728e+00,4.114439749473638579e-17,6.783564331971293922e-17,2.092020511627197266e-01
2.221328138901874194e+00,4.498382947232974505e-17,7.416579648857737073e-17,2.088616043329238892e-01
2.284794657156213216e+00,4.864212744540030425e-17,8.019731017133796836e-17,2.077684402465820312e-01
2.348261175410552681e+00,5.210456073918405713e-17,8.590589759117954972e-17,2.068624943494796753e-01
2.411727693664891703e+00,5.535718735685112686e-17,9.126857228137266067e-17,2.052389383316040039e-01
2.475194211919231169e+00,5.838691011900650834e-17,9.626374064366259004e-17,2.032117545604705811e-01
2.538660730173570190e+00,6.118152940140875661e-17,1.008712888980678877e-16,2.007321119308471680e-01
2.602127248427909656e+00,6.372979225855108963e-17,1.050726640739735510e-16,1.979504376649856567e-01
2.665593766682248678e+00,6.602143773530129371e-17,1.088509487163953493e-16,1.946002840995788574e-01
2.729060284936588143e+00,6.804723818414653074e-17,1.121909290066003402e-16,1.910087466239929199e-01
2.792526803190927165e+00,6.979903642167288018e-17,1.150791560227850270e-16,1.865084618330001831e-01
2.855993321445266631e+00,7.126977857466411473e-17,1.175039998941369924e-16,1.815839856863021851e-01
2.919459839699605652e+00,7.245354248355946287e-17,1.194556966302198712e-16,1.762736439704895020e-01
2.982926357953945118e+00,7.334556154889982511e-17,1.209263874371165785e-16,1.705465763807296753e-01
3.046392876208284584e+00,7.394224392474171534e-17,1.219101503620189837e-16,1.638853251934051514e-01
3.109859394462623605e+00,7.424118698175289307e-17,1.224030241388414470e-16,1.568519771099090576e-01
3.173325912716963071e+00,7.424118698175289307e-17,1.224030241388414470e-16,1.496895700693130493e-01
3.236792430971302093e+00,7.394224392474171534e-17,1.219101503620189837e-16,1.422831863164901733e-01
3.300258949225641558e+00,7.334556154889982511e-17,1.209263874371165785e-16,1.334740966558456421e-01
3.363725467479980580e+00,7.245354248355946287e-17,1.194556966302198712e-16,1.255549043416976929e-01
3.427191985734320046e+00,7.126977857466411473e-17,1.175039998941369924e-16,1.169943884015083313e-01
3.490658503988659067e+00,6.979903642167288018e-17,1.150791560227850270e-16,1.079108342528343201e-01
3.554125022242998533e+00,6.804723818414653074e-17,1.121909290066003402e-16,9.885357320308685303e-02
3.617591540497337554e+00,6.602143773530130604e-17,1.088509487163953616e-16,8.979114145040512085e-02
3.681058058751677020e+00,6.372979225855108963e-17,1.050726640739735386e-16,8.031710237264633179e-02
3.744524577006016042e+00,6.118152940140875661e-17,1.008712888980679001e-16,7.072558999061584473e-02
3.807991095260355507e+00,5.838691011900650834e-17,9.626374064366257771e-17,6.131456047296524048e-02
3.871457613514694529e+00,5.535718735685113302e-17,9.126857228137267300e-17,5.195834487676620483e-02
3.934924131769033995e+00,5.210456073918405097e-17,8.590589759117953739e-17,4.242501407861709595e-02
3.998390650023373016e+00,4.864212744540032891e-17,8.019731017133800534e-17,3.314371407032012939e-02
4.061857168277712482e+00,4.498382947232972656e-17,7.416579648857734608e-17,2.434870041906833649e-02
4.125323686532051504e+00,4.114439749473639811e-17,6.783564331971296387e-17,1.574713177978992462e-02
4.188790204786391413e+00,3.713929155009041911e-17,6.123233995736761105e-17,7.084114477038383484e-03
4.252256723040730435e+00,3.298463878645382179e-17,5.438247557358687783e-17,-1.774283125996589661e-03
4.315723241295069457e+00,2.869716852414689295e-17,4.731363215462719029e-17,-9.879985824227333069e-03
4.379189759549408478e+00,2.429414489268003946e-17,4.005427343803246234e-17,-1.688610948622226715e-02
4.442656277803748388e+00,1.979329731419736127e-17,3.263363029920890723e-17,-2.449640072882175446e-02
4.506122796058087410e+00,1.521274911335142184e-17,2.508158304900700506e-17,-3.174596279859542847e-02
4.569589314312426431e+00,1.057094454107102187e-17,1.742854111625519827e-17,-3.772664070129394531e-02
4.633055832566765453e+00,5.886574506072737592e-18,9.705320599723222990e-18,-4.343874007463455200e-02
4.696522350821105363e+00,1.178501313168221773e-18,1.943020182568480395e-18,-4.840004444122314453e-02
