x,true,terminal,branch
0.000000000000000000e+00,-4.965122214666175537e-01,-5.000000000000000000e-01,-6.079812049865722656e-01
6.346651825433925753e-02,-4.650214702238164577e-01,-4.682880401717177676e-01,-6.060521006584167480e-01
1.269330365086785151e-01,-4.336575211218056669e-01,-4.367037732131253680e-01,-6.038811802864074707e-01
1.903995547630177865e-01,-4.025466657139086246e-01,-4.053743778197949066e-01,-6.019080281257629395e-01
2.538660730173570301e-01,-3.718141764344703448e-01,-3.744260064094603879e-01,-6.000319123268127441e-01
3.173325912716962738e-01,-3.415838021709785566e-01,-3.439832771507564391e-01,-5.981892943382263184e-01
3.807991095260355729e-01,-3.119772699709700281e-01,-3.141687721698361857e-01,-5.963639616966247559e-01
4.442656277803748166e-01,-2.831137948901733536e-01,-2.851025439554141783e-01,-5.948963761329650879e-01
5.077321460347140603e-01,-2.551095999555550442e-01,-2.569016319497656742e-01,-5.932680964469909668e-01
5.711986642890533039e-01,-2.280774481762107564e-01,-2.296795912722012223e-01,-5.911364555358886719e-01
6.346651825433925476e-01,-2.021261884865263592e-01,-2.035460354726797982e-01,-5.896181464195251465e-01
6.981317007977317912e-01,-1.773603174499368551e-01,-1.786061951567303741e-01,-5.880904197692871094e-01
7.615982190520711459e-01,-1.538795584881466338e-01,-1.549604942589439815e-01,-5.866918563842773438e-01
8.250647373064103896e-01,-1.317784603301073720e-01,-1.327041456712333423e-01,-5.854467153549194336e-01
8.885312555607496332e-01,-1.111460162976566218e-01,-1.119267678541215894e-01,-5.838999748229980469e-01
9.519977738150888769e-01,-9.206530596082042328e-02,-9.271202397483213620e-02,-5.826449990272521973e-01
1.015464292069428121e+00,-7.461316060570744035e-02,-7.513728502524280595e-02,-5.817432403564453125e-01
1.078930810323767364e+00,-5.885985386203675118e-02,-5.927331827620896387e-02,-5.808606147766113281e-01
1.142397328578106608e+00,-4.486881873603371790e-02,-4.518400232274083494e-02,-5.802499055862426758e-01
1.205863846832445851e+00,-3.269639218810201087e-02,-3.292606986744667230e-02,-5.796503424644470215e-01
1.269330365086785095e+00,-2.239158828376804078e-02,-2.254887927796306313e-02,-5.794459581375122070e-01
